"sku","name","url","price","in_stock","image_url","categories"
"193935","Mattemoiselle Plush Matte Lipstick","https://www.sephora.com.au/products/fenty-beauty-mattemoiselle-plush-matte-lipstick/v/dragon-mami","29.0","true","https://static-reg.lximg.com/images/product_images/default_1_Product_193935_20Fenty_20Beauty_20Mattemoiselle_20Plush_20Matte_20Lipstick_20Dragon_20Mami_12b35a5c459d422ac7dcd789124c9d939a76d2a2_1544436278.png","makeup|lips|lipstick|fenty-beauty"
"31228","Mattemoiselle Plush Matte Lipstick","https://www.sephora.com.au/products/fenty-beauty-mattemoiselle-plush-matte-lipstick/v/griselda","29.0","true","https://static-reg.lximg.com/images/product_images/default_31228_FentyBeauty_WEB_028405a4fe0567347d25c95aaf04494425bcefd0_1523778496.png","makeup|lips|lipstick|fenty-beauty"
"193939","Mattemoiselle Plush Matte Lipstick","https://www.sephora.com.au/products/fenty-beauty-mattemoiselle-plush-matte-lipstick/v/pumpkin-rose","29.0","true","https://static-reg.lximg.com/images/product_images/default_1_Product_193939_20Fenty_20Beauty_20Mattemoiselle_20Plush_20Matte_20Lipstick_20Pumpkin_20Rose_484c7592d4c561e3e28cf12e592f979e5c1e8b52_1544436269.png","makeup|lips|lipstick|fenty-beauty"
"31237","Mattemoiselle Plush Matte Lipstick","https://www.sephora.com.au/products/fenty-beauty-mattemoiselle-plush-matte-lipstick/v/saw-c","29.0","true","https://static-reg.lximg.com/images/product_images/default_31237_FentyBeauty_WEB_c43300eb1f1ebf85bffa04a05456f17a495d1073_1523778495.png","makeup|lips|lipstick|fenty-beauty"
"193941","Mattemoiselle Plush Matte Lipstick","https://www.sephora.com.au/products/fenty-beauty-mattemoiselle-plush-matte-lipstick/v/tiger-tini","29.0","true","https://static-reg.lximg.com/images/product_images/default_1_Product_193941_20Fenty_20Beauty_20Mattemoiselle_20Plush_20Matte_20Lipstick_20Tiger_20Tini_1e681ab3c283bfc967e611fa31e055477229a18a_1544436267.png","makeup|lips|lipstick|fenty-beauty"
"193943","Mattemoiselle Plush Matte Lipstick","https://www.sephora.com.au/products/fenty-beauty-mattemoiselle-plush-matte-lipstick/v/violet-fury","29.0","true","https://static-reg.lximg.com/images/product_images/default_1_Product_193943_20Fenty_20Beauty_20Mattemoiselle_20Plush_20Matte_20Lipstick_20Violet_20Fury_f3f1f1867ea2b5c73fac70606cbada669c24e05e_1544436262.png","makeup|lips|lipstick|fenty-beauty"
"31235","Mattemoiselle Plush Matte Lipstick","https://www.sephora.com.au/products/fenty-beauty-mattemoiselle-plush-matte-lipstick/v/one-boyz","29.0","true","https://static-reg.lximg.com/images/product_images/default_31235_FentyBeauty_WEB_2b6e4a28445fdf88a2cfaf1618cc653b1c93d180_1523778496.png","makeup|lips|lipstick|fenty-beauty"
"31234","Mattemoiselle Plush Matte Lipstick","https://www.sephora.com.au/products/fenty-beauty-mattemoiselle-plush-matte-lipstick/v/mn-wasabi","29.0","true","https://static-reg.lximg.com/images/product_images/default_31234_FentyBeauty_WEB_e689af63b09579195b41b65debbd076fab4ecc3b_1523778496.png","makeup|lips|lipstick|fenty-beauty"
"31233","Mattemoiselle Plush Matte Lipstick","https://www.sephora.com.au/products/fenty-beauty-mattemoiselle-plush-matte-lipstick/v/ya-dig","29.0","true","https://static-reg.lximg.com/images/product_images/default_31233_FentyBeauty_WEB_fa37df557331ed728005ac9f081d7a30fb84e991_1523778497.png","makeup|lips|lipstick|fenty-beauty"
"31232","Mattemoiselle Plush Matte Lipstick","https://www.sephora.com.au/products/fenty-beauty-mattemoiselle-plush-matte-lipstick/v/clapback","29.0","true","https://static-reg.lximg.com/images/product_images/default_31232_FentyBeauty_WEB_29760b8a332428a27ec13cd095b6c873cb9d2257_1523778497.png","makeup|lips|lipstick|fenty-beauty"
